Variable	Coefficient	Hazard_Ratio	CI_Lower	CI_Upper	P_Value
Age..5.year.range..e.g...35.31.35...40.36.40...45.41.45..etc..	0.0484	1.0495	1.0363	1.0629	0
CDH11	0.6177	1.8546	1.1915	2.8867	0.0062
FAP	0.6672	1.9488	1.1838	3.208	0.0087
NTM	-0.3458	0.7077	0.5207	0.9617	0.0271
ADAR	-0.3565	0.7001	0.5026	0.9752	0.035
IFI27	0.3677	1.4445	1.012	2.0618	0.0428
COL6A2	-0.4135	0.6613	0.4405	0.9928	0.0461
COL5A3	0.3671	1.4436	0.9789	2.1288	0.064
LGALS3BP	-0.2444	0.7832	0.6002	1.022	0.0719
NNMT	-0.2538	0.7759	0.585	1.0291	0.0782
LRRC15	-0.3675	0.6925	0.4396	1.0906	0.1128
COL8A2	0.2494	1.2833	0.9305	1.7699	0.1284
SPARC	-0.3814	0.6829	0.3967	1.1757	0.1688
IFI44L	-0.4879	0.6139	0.2935	1.2839	0.1949
MX1	0.3919	1.4798	0.7959	2.7514	0.2155
OAS3	0.3122	1.3664	0.8111	2.3018	0.2407
RSAD2	-0.4399	0.6441	0.3022	1.3729	0.2546
EDIL3	-0.2017	0.8173	0.5613	1.1901	0.2927
OAS1	-0.2673	0.7654	0.4503	1.3012	0.3234
DPYSL3	-0.1411	0.8684	0.6472	1.1652	0.347
SPOCK1	-0.1441	0.8658	0.6336	1.1831	0.3657
THBS2	0.2014	1.2231	0.7821	1.9127	0.3773
USP18	0.1555	1.1683	0.8097	1.6857	0.4058
ISG15	0.2171	1.2424	0.7335	2.1044	0.4195
SAMD9	0.1584	1.1716	0.7771	1.7664	0.4497
ADAM12	-0.1581	0.8538	0.566	1.288	0.4512
ITGB5	-0.1124	0.8937	0.6553	1.2189	0.4779
LOXL2	0.1172	1.1244	0.7993	1.5817	0.5007
TDRD7	-0.0943	0.91	0.689	1.202	0.5066
PARP12	0.117	1.1242	0.7813	1.6174	0.5284
PARP9	0.1237	1.1317	0.7457	1.7176	0.5611
FBN1	0.1497	1.1615	0.6946	1.9423	0.5682
COL12A1	0.1194	1.1268	0.7127	1.7817	0.6095
BMP1	-0.0994	0.9054	0.61	1.3438	0.6219
AKR1C1	-0.1163	0.8902	0.5503	1.44	0.6355
IFIT3	-0.1582	0.8537	0.409	1.7818	0.6735
AKR1C3	0.0615	1.0634	0.7959	1.4208	0.6775
NUB1	0.055	1.0566	0.8146	1.3704	0.6783
CTHRC1	-0.078	0.9249	0.6314	1.355	0.6887
CMPK2	0.1457	1.1568	0.5404	2.4765	0.7076
NID2	0.0827	1.0862	0.6748	1.7483	0.7335
LOXL1	-0.0486	0.9526	0.6558	1.3837	0.7988
MXRA5	0.0581	1.0598	0.6734	1.6679	0.8017
IFIT1	-0.0768	0.9261	0.4939	1.7363	0.8108
AKR1C2	0.0474	1.0485	0.6323	1.7389	0.8543
DHX58	0.0236	1.0239	0.728	1.4399	0.8922
HELZ2	0.0201	1.0203	0.7469	1.3939	0.8994
MX2	-0.0143	0.9858	0.7262	1.3383	0.927
IFI44	0.0195	1.0197	0.5856	1.7757	0.945
HERC6	-0.0113	0.9888	0.6488	1.507	0.9583
