Variable	Coefficient	Hazard_Ratio	CI_Lower	CI_Upper	P_Value
CDH11	0.6065	1.834	1.1929	2.8195	0.0057
FAP	0.7026	2.019	1.2219	3.336	0.0061
COL6A2	-0.4369	0.646	0.4338	0.962	0.0315
NTM	-0.3086	0.7345	0.5444	0.9909	0.0434
COL5A3	0.3892	1.4758	1.0068	2.1631	0.046
ADAR	-0.3061	0.7363	0.5363	1.0109	0.0584
SPARC	-0.4743	0.6223	0.3664	1.0571	0.0793
LRRC15	-0.4004	0.67	0.4275	1.0503	0.0808
LGALS3BP	-0.2319	0.793	0.6092	1.0324	0.0848
COL8A2	0.2735	1.3146	0.9527	1.814	0.0959
NNMT	-0.2073	0.8128	0.6199	1.0656	0.1335
SPOCK1	-0.2295	0.795	0.584	1.0822	0.1448
RSAD2	-0.5263	0.5908	0.2748	1.2701	0.1778
SAMD9	0.2611	1.2984	0.8744	1.9278	0.1954
MX1	0.4079	1.5037	0.8009	2.8233	0.2044
DPYSL3	-0.1729	0.8412	0.6387	1.108	0.2186
OAS1	-0.3285	0.72	0.4252	1.2192	0.2215
ISG15	0.3333	1.3956	0.8099	2.4046	0.2299
IFI44L	-0.4308	0.65	0.3149	1.3417	0.244
IFI27	0.204	1.2264	0.8653	1.738	0.2514
EDIL3	-0.1826	0.8331	0.5775	1.2018	0.3287
TDRD7	-0.1368	0.8722	0.6614	1.1501	0.3325
LOXL2	0.1675	1.1824	0.8423	1.6599	0.333
ADAM12	-0.1873	0.8292	0.5632	1.2208	0.3426
CMPK2	0.3551	1.4263	0.6495	3.1318	0.3763
THBS2	0.1933	1.2132	0.783	1.8797	0.387
BMP1	-0.1699	0.8438	0.5687	1.2519	0.3988
PARP12	0.1429	1.1536	0.8026	1.658	0.4401
IFIT1	-0.2344	0.7911	0.421	1.4863	0.4664
PARP9	0.1254	1.1336	0.7472	1.7198	0.5555
NID2	0.1321	1.1412	0.7308	1.7822	0.5613
COL12A1	0.1304	1.1393	0.7276	1.784	0.5687
AKR1C3	0.0802	1.0835	0.8156	1.4395	0.5798
DHX58	0.0858	1.0896	0.7898	1.5033	0.6012
AKR1C1	-0.1229	0.8844	0.5395	1.4497	0.626
OAS3	0.1178	1.125	0.6766	1.8703	0.6498
MXRA5	0.0944	1.099	0.714	1.6916	0.668
LOXL1	-0.0793	0.9238	0.6375	1.3386	0.6753
FBN1	0.1007	1.1059	0.6708	1.8232	0.6931
ITGB5	-0.0558	0.9457	0.699	1.2796	0.7175
USP18	0.0625	1.0645	0.7339	1.544	0.7417
AKR1C2	0.0622	1.0642	0.6403	1.7685	0.8104
IFI44	0.0565	1.0581	0.6097	1.8364	0.8408
HERC6	-0.025	0.9753	0.6445	1.4759	0.9057
HELZ2	0.019	1.0192	0.7371	1.4094	0.9084
MX2	-0.0178	0.9823	0.7226	1.3355	0.9095
CTHRC1	-0.0136	0.9865	0.697	1.3962	0.9388
NUB1	-0.0096	0.9905	0.7728	1.2695	0.9398
IFIT3	-0.011	0.989	0.4888	2.0014	0.9756
