Variable	Coefficient	Hazard_Ratio	CI_Lower	CI_Upper	P_Value
Age..5.year.range..e.g...35.31.35...40.36.40...45.41.45..etc..	0.0402	1.0411	1.0275	1.0548	0
KLF3	0.4099	1.5066	1.2264	1.8508	1e-04
XIAP	-0.3391	0.7124	0.5787	0.877	0.0014
ATP11A	0.3281	1.3883	1.1263	1.7112	0.0021
FGFR4	0.3029	1.3538	1.1137	1.6456	0.0024
XPR1	0.2844	1.329	1.0993	1.6067	0.0033
CWH43	0.2038	1.2261	1.0265	1.4644	0.0245
ZPR1	-0.2286	0.7956	0.6482	0.9766	0.0288
CR2	-0.2819	0.7543	0.5812	0.979	0.034
HOOK1	-0.1943	0.8234	0.6787	0.9989	0.0487
ND6	-0.1986	0.8199	0.6714	1.0011	0.0513
AP2A2	0.1816	1.1992	0.9962	1.4435	0.0549
CDK5RAP2	-0.1822	0.8335	0.6908	1.0056	0.0573
EIF4E3	-0.1796	0.8356	0.6845	1.0201	0.0777
RHBDD2	0.2108	1.2346	0.9683	1.5741	0.0891
TAMM41	0.1517	1.1639	0.9698	1.3967	0.1029
PLPP4	-0.178	0.8369	0.6614	1.0591	0.1383
IGLL5	-0.1455	0.8646	0.7057	1.0592	0.1601
ARHGEF11	-0.1503	0.8604	0.6917	1.0703	0.177
ANK1	0.1097	1.1159	0.9416	1.3224	0.2057
MTURN	-0.1253	0.8822	0.7217	1.0784	0.2211
ADPRHL1	-0.1221	0.8851	0.7251	1.0804	0.2302
S100A12	0.0948	1.0994	0.9373	1.2896	0.2442
HELZ	0.1364	1.1462	0.9063	1.4495	0.2549
TMEM129	0.1247	1.1328	0.9005	1.4252	0.287
DNASE2B	-0.1213	0.8857	0.6996	1.1214	0.3135
TTC22	0.1083	1.1144	0.9007	1.3787	0.3189
ATP8A1	0.1188	1.1261	0.8829	1.4363	0.3386
TNFRSF9	-0.1109	0.895	0.7107	1.1271	0.3457
ZC3H3	-0.1189	0.8879	0.6849	1.1511	0.3693
WWC2	-0.0967	0.9079	0.7284	1.1315	0.3896
SMG6	-0.0932	0.911	0.7356	1.1283	0.3931
GDF5	0.0719	1.0746	0.8781	1.3151	0.4851
ARHGAP36	-0.0787	0.9243	0.7349	1.1624	0.5009
ATP13A5	0.074	1.0769	0.8676	1.3366	0.5019
BTN3A2	-0.0666	0.9356	0.7514	1.165	0.5519
ELOVL4	-0.058	0.9437	0.7795	1.1424	0.5521
CAPN12	-0.0551	0.9464	0.7846	1.1415	0.5643
SIM2	0.0536	1.055	0.8643	1.2879	0.5986
CSGALNACT1	0.0327	1.0333	0.8685	1.2293	0.7121
AMOT	-0.0318	0.9687	0.7947	1.1807	0.7529
SNRPC	0.0397	1.0405	0.8087	1.3387	0.7576
PRKAR1A	0.0328	1.0333	0.8372	1.2755	0.76
MRAP2	0.0217	1.0219	0.8552	1.2211	0.8117
PSMG4	-0.0224	0.9779	0.797	1.1998	0.8303
KCTD11	-0.0246	0.9757	0.7667	1.2417	0.8418
EDN3	0.0183	1.0185	0.8308	1.2486	0.86
ACSM3	-0.0154	0.9847	0.8007	1.2109	0.8837
ADCY2	0.0045	1.0045	0.8292	1.2169	0.963
ZFP36L2	0.0022	1.0022	0.8053	1.2472	0.9843
