Variable	Coefficient	Hazard_Ratio	CI_Lower	CI_Upper	P_Value
KLF3	0.4153	1.5148	1.2391	1.8519	1e-04
FGFR4	0.3109	1.3646	1.123	1.6582	0.0018
XPR1	0.2789	1.3217	1.1001	1.588	0.0029
XIAP	-0.3237	0.7235	0.5836	0.8969	0.0032
ZPR1	-0.2662	0.7662	0.628	0.935	0.0087
EIF4E3	-0.2427	0.7845	0.6439	0.9558	0.016
AP2A2	0.2242	1.2513	1.0415	1.5034	0.0167
IGLL5	-0.2368	0.7892	0.6456	0.9646	0.0208
RHBDD2	0.2752	1.3168	1.0428	1.6629	0.0208
ATP11A	0.2481	1.2816	1.0349	1.5871	0.023
CR2	-0.2891	0.7489	0.5796	0.9678	0.0271
ND6	-0.211	0.8098	0.6665	0.9839	0.0337
CWH43	0.1834	1.2013	1.009	1.4302	0.0393
CDK5RAP2	-0.1648	0.848	0.7039	1.0217	0.083
TMEM129	0.1837	1.2017	0.9551	1.5119	0.1169
HOOK1	-0.1497	0.861	0.7113	1.0422	0.1246
ARHGEF11	-0.1682	0.8452	0.6768	1.0554	0.1378
ZC3H3	-0.1944	0.8233	0.6365	1.0648	0.1385
TAMM41	0.1318	1.1408	0.9524	1.3665	0.1525
PLPP4	-0.1538	0.8574	0.6846	1.0738	0.1803
CSGALNACT1	0.1137	1.1204	0.9416	1.3331	0.2
ELOVL4	-0.1132	0.893	0.7395	1.0783	0.2395
MTURN	-0.1113	0.8946	0.7328	1.0922	0.274
S100A12	0.0876	1.0916	0.9309	1.28	0.2806
HELZ	0.1189	1.1263	0.8921	1.422	0.3173
DNASE2B	-0.1152	0.8912	0.7055	1.1256	0.3335
ADPRHL1	-0.091	0.913	0.754	1.1057	0.3516
ANK1	0.0719	1.0746	0.9119	1.2663	0.3904
WWC2	-0.0955	0.9089	0.7283	1.1344	0.3983
ATP8A1	0.095	1.0997	0.8622	1.4026	0.4441
TTC22	0.081	1.0843	0.8799	1.3362	0.4474
ARHGAP36	-0.0853	0.9182	0.7341	1.1485	0.4549
PSMG4	-0.0734	0.9292	0.7633	1.1311	0.4642
KCTD11	-0.0863	0.9173	0.722	1.1654	0.4799
SIM2	0.066	1.0682	0.8821	1.2936	0.4993
ZFP36L2	-0.0662	0.9359	0.7551	1.1601	0.5457
BTN3A2	-0.0449	0.9561	0.7701	1.187	0.6839
TNFRSF9	-0.0415	0.9594	0.7618	1.2082	0.7245
SMG6	-0.0377	0.963	0.7791	1.1903	0.7273
EDN3	-0.0356	0.9651	0.79	1.179	0.7278
MRAP2	0.0318	1.0323	0.8629	1.235	0.7279
AMOT	-0.0335	0.9671	0.7971	1.1733	0.7344
CAPN12	0.0288	1.0292	0.8593	1.2327	0.7546
GDF5	0.0245	1.0248	0.8364	1.2556	0.813
ACSM3	-0.0218	0.9785	0.8023	1.1934	0.8299
SNRPC	0.0185	1.0187	0.7942	1.3067	0.8841
PRKAR1A	-0.0118	0.9882	0.8116	1.2032	0.9061
ADCY2	0.0062	1.0062	0.8332	1.2152	0.9487
ATP13A5	0.0067	1.0067	0.8179	1.2391	0.9494
